sv:integer,sv_and_one_mv:integer,mv:integer
474,[474, 0],[341, 508, 779, 908, 1083, 1208, 1251, 1326, 1458, 1513, 1646, 1725, 1775, 1805, 1910, 1962]
155,155,[399, 581, 854, 963, 1088, 1123, 1294, 1395, 1434, 1551, 1638, 1697, 1744, 1852, 1877, 1957]
416,416,[484, 687, 776, 994, 1092, 1180, 1267, 1338, 1420, 1565, 1619, 1699, 1766, 1847, 1895, 1946]
444,444,[348, 680, 782, 905, 1112, 1144, 1246, 1352, 1449, 1557, 1592, 1730, 1765, 1826, 1914, 1957]
420,420,[165, 646, 853, 879, 1036, 1187, 1256, 1346, 1425, 1522, 1593, 1676, 1803, 1848, 1879, 1961]
434,434,[493, 623, 728, 880, 1043, 1222, 1290, 1374, 1442, 1566, 1645, 1728, 1741, 1844, 1885, 1969]
338,338,[410, 670, 812, 938, 1068, 1156, 1319, 1341, 1468, 1571, 1616, 1733, 1791, 1859, 1889, 1965]
442,442,[479, 674, 804, 962, 1034, 1211, 1304, 1348, 1463, 1565, 1625, 1721, 1743, 1827, 1914, 1943]
315,315,[391, 607, 845, 960, 1072, 1173, 1280, 1329, 1447, 1530, 1615, 1723, 1763, 1856, 1896, 1995]
500,500,[356, 670, 771, 947, 1041, 1174, 1288, 1379, 1433, 1520, 1598, 1731, 1746, 1822, 1920, 1958]
356,356,[486, 611, 837, 967, 1054, 1190, 1274, 1359, 1476, 1516, 1600, 1732, 1774, 1857, 1900, 1957]
265,265,[213, 517, 867, 957, 1047, 1126, 1227, 1362, 1453, 1566, 1649, 1703, 1787, 1858, 1932, 1949]
161,161,[197, 628, 803, 980, 1107, 1127, 1293, 1360, 1440, 1561, 1632, 1700, 1772, 1855, 1930, 1977]
357,357,[362, 705, 726, 950, 1066, 1211, 1238, 1366, 1444, 1509, 1605, 1733, 1784, 1855, 1910, 1992]
499,499,[462, 559, 859, 974, 1053, 1181, 1278, 1360, 1428, 1576, 1620, 1673, 1792, 1835, 1899, 1968]
491,491,[204, 670, 807, 895, 1080, 1144, 1295, 1388, 1464, 1563, 1584, 1731, 1802, 1863, 1913, 1984]
314,314,[236, 705, 846, 922, 1073, 1205, 1272, 1369, 1476, 1582, 1586, 1703, 1736, 1823, 1903, 1977]
356,356,[419, 586, 713, 991, 1004, 1146, 1305, 1347, 1463, 1559, 1615, 1686, 1772, 1835, 1901, 1978]
465,465,[332, 647, 775, 927, 1076, 1138, 1310, 1367, 1449, 1565, 1595, 1709, 1769, 1821, 1908, 1952]
309,309,[315, 613, 731, 872, 1019, 1177, 1274, 1362, 1468, 1506, 1594, 1705, 1777, 1872, 1897, 1972]
432,432,[141, 523, 838, 958, 1044, 1178, 1274, 1377, 1467, 1526, 1622, 1731, 1739, 1809, 1929, 1971]
214,214,[212, 553, 855, 900, 1020, 1198, 1249, 1327, 1494, 1527, 1623, 1663, 1770, 1813, 1914, 1965]
203,203,[425, 695, 812, 941, 1007, 1218, 1278, 1398, 1448, 1543, 1658, 1679, 1764, 1846, 1931, 1972]
349,349,[167, 694, 815, 885, 1105, 1222, 1296, 1390, 1432, 1531, 1609, 1680, 1755, 1824, 1884, 1971]
396,396,[247, 622, 722, 970, 1064, 1205, 1322, 1335, 1487, 1529, 1657, 1670, 1764, 1824, 1927, 1977]
322,322,[453, 531, 742, 873, 1022, 1194, 1301, 1409, 1459, 1516, 1613, 1697, 1761, 1857, 1914, 1959]
158,158,[310, 665, 745, 873, 1101, 1185, 1262, 1346, 1423, 1579, 1635, 1727, 1757, 1858, 1875, 1944]
211,211,[432, 707, 862, 974, 1021, 1219, 1266, 1328, 1426, 1535, 1626, 1702, 1762, 1858, 1890, 1982]
325,325,[257, 648, 810, 912, 1010, 1132, 1302, 1387, 1433, 1519, 1597, 1702, 1767, 1862, 1884, 1971]
420,420,[283, 701, 851, 956, 1018, 1213, 1298, 1376, 1448, 1568, 1613, 1666, 1741, 1810, 1904, 1946]
413,413,[472, 569, 731, 954, 1046, 1220, 1272, 1336, 1460, 1519, 1657, 1692, 1796, 1829, 1934, 1980]
484,484,[413, 618, 857, 939, 1055, 1126, 1226, 1408, 1491, 1541, 1626, 1686, 1750, 1856, 1911, 1964]
420,420,[110, 515, 858, 955, 1071, 1203, 1230, 1409, 1431, 1559, 1599, 1707, 1741, 1808, 1930, 1985]
481,481,[467, 576, 823, 984, 1091, 1129, 1271, 1394, 1482, 1568, 1605, 1667, 1762, 1810, 1883, 1985]
176,176,[359, 674, 756, 979, 1118, 1152, 1317, 1406, 1454, 1560, 1587, 1677, 1745, 1856, 1922, 1951]
422,422,[487, 655, 740, 891, 1083, 1180, 1233, 1372, 1430, 1523, 1653, 1708, 1761, 1842, 1900, 1944]
431,431,[335, 700, 811, 922, 1028, 1214, 1264, 1372, 1428, 1572, 1660, 1724, 1786, 1869, 1914, 1981]
404,404,[478, 633, 834, 965, 1095, 1155, 1319, 1329, 1494, 1503, 1597, 1684, 1763, 1829, 1933, 1961]
300,300,[384, 555, 798, 951, 1004, 1201, 1240, 1392, 1433, 1532, 1658, 1701, 1741, 1834, 1926, 1964]
404,404,[204, 632, 756, 948, 1098, 1173, 1282, 1341, 1499, 1540, 1643, 1660, 1795, 1818, 1905, 1980]
